pair,stem,rep,class,arm,setup,top_word,features,iou,x0,y0,x1,y1,n_boxes,n_truth,width,height
acousticguitar_violin,n02676566_10019,0,acousticguitar,caption,w05,guitar,guitar acoustic natural,0.9032025091824523,13,9,195,490,1,1,207,500
acousticguitar_violin,n02676566_10102,0,acousticguitar,caption,w05,guitar,guitar acoustic wood,0.9051384826490448,19,5,185,458,1,1,232,500
acousticguitar_violin,n02676566_105,0,acousticguitar,caption,w05,guitar,guitar acoustic natural,0.9659347861707357,29,23,196,376,1,1,225,400
acousticguitar_violin,n02676566_11075,0,acousticguitar,caption,w05,guitar,guitar acoustic strumming,0.8450981691557874,62,11,500,332,1,1,500,333
acousticguitar_violin,n02676566_11094,0,acousticguitar,caption,w05,guitar,guitar acoustic musician,0.9812018619508454,38,246,499,450,2,1,500,451
acousticguitar_violin,n02676566_11121,0,acousticguitar,caption,w05,guitar,guitar tiger-guitar man,0.9578751675337589,39,28,374,426,3,1,375,500
acousticguitar_violin,n02676566_11293,0,acousticguitar,caption,w05,guitar,guitar electric glossy,0.991869918699187,0,0,492,333,1,1,500,334
acousticguitar_violin,n02676566_1136,0,acousticguitar,caption,w05,guitar,guitar acoustic natural,0.9835367870134725,3,0,395,699,1,1,400,700
acousticguitar_violin,n02676566_11377,0,acousticguitar,caption,w05,guitar,guitar acoustic man,0.974714945720203,41,259,374,388,2,1,375,500
acousticguitar_violin,n02676566_11513,0,acousticguitar,caption,w05,guitar,guitar acoustic soft,1.0,0,0,499,332,1,1,500,333
acousticguitar_violin,n02676566_11646,0,acousticguitar,caption,w05,guitars,guitars park musicians,0.8977335544499724,144,169,262,227,4,2,500,375
acousticguitar_violin,n02676566_11818,0,acousticguitar,caption,w05,guitar,guitar acoustic dark-acoustic,0.9949899799599199,0,0,332,499,1,1,333,500
acousticguitar_violin,n02676566_12007,0,acousticguitar,caption,w05,guitar,guitar grain wooden,0.992016,0,0,500,500,1,1,500,500
acousticguitar_violin,n02676566_12075,0,acousticguitar,caption,w05,guitars,guitars acoustic electric,0.943217665615142,0,0,317,250,2,2,500,251
acousticguitar_violin,n02676566_1223,0,acousticguitar,caption,w05,guitar,guitar acoustic natural,0.9548288307995187,63,3,185,295,1,1,250,300
acousticguitar_violin,n02676566_12282,0,acousticguitar,caption,w05,guitar,guitar headphones man,0.8558986291032574,8,327,188,500,3,1,332,500
acousticguitar_violin,n02676566_12344,0,acousticguitar,caption,w05,guitar,guitar wood shadow,0.9683955046694455,9,5,199,489,3,1,333,500
acousticguitar_violin,n02676566_1237,0,acousticguitar,caption,w05,guitar,guitar acoustic natural,0.869042851421706,34,17,114,234,1,1,150,250
acousticguitar_violin,n02676566_130,0,acousticguitar,caption,w05,guitar,guitar acoustic soundhole,0.6732272601857813,32,0,152,122,1,1,167,134
acousticguitar_violin,n02676566_1319,0,acousticguitar,caption,w05,guitar,guitar acoustic headphones,0.7586912065439673,30,60,189,123,2,1,200,159
ambulance_firetruck,n02701002_10004,0,ambulance,caption,w05,ambulance,ambulance clinic at,0.9751043485983245,40,61,445,305,3,1,500,375
ambulance_firetruck,n02701002_10068,0,ambulance,caption,w05,ambulance,ambulance parked yellow,0.9786781183486325,60,32,464,291,1,1,500,375
ambulance_firetruck,n02701002_10092,0,ambulance,caption,w05,ambulance,ambulance cross-marked with,0.9583204636712149,8,7,394,281,1,1,400,289
ambulance_firetruck,n02701002_10156,0,ambulance,caption,w05,ambulance,ambulance beige parked,0.9646145495140261,64,69,450,313,1,1,500,375
ambulance_firetruck,n02701002_1020,0,ambulance,caption,w05,ambulance,ambulance parked with,0.9805825242718447,51,156,158,257,1,1,500,375
ambulance_firetruck,n02701002_10200,0,ambulance,caption,w05,ambulance,ambulance white blue,0.9833006238172005,25,80,456,343,1,2,500,375
ambulance_firetruck,n02701002_1023,0,ambulance,caption,w05,ambulance,ambulance white parked,0.9588744588744589,11,63,454,283,1,1,500,375
ambulance_firetruck,n02701002_10253,0,ambulance,caption,w05,ambulance,ambulance emergency at,0.763312141417274,28,19,191,177,1,1,385,189
ambulance_firetruck,n02701002_10279,0,ambulance,caption,w05,ambulance,ambulance white blue,0.9778993730181228,143,49,2514,1923,1,1,2592,1944
ambulance_firetruck,n02701002_10324,0,ambulance,caption,w05,ambulance,ambulance loading on,0.9136990235496841,147,239,353,373,1,1,600,450
ambulance_firetruck,n02701002_1035,0,ambulance,caption,w05,ambulance,ambulance white parked,0.9528795811518325,67,107,404,290,1,1,500,400
ambulance_firetruck,n02701002_10365,0,ambulance,caption,w05,ambulance,ambulance white parked,0.9860692557002331,48,34,454,333,1,1,500,375
ambulance_firetruck,n02701002_1040,0,ambulance,caption,w05,ambulance,ambulance white on,0.9791426526080784,103,67,418,324,1,1,500,396
ambulance_firetruck,n02701002_1044,0,ambulance,caption,w05,ambulance,ambulance on street,0.9597972877325104,112,60,446,263,1,1,500,334
ambulance_firetruck,n02701002_10558,0,ambulance,caption,w05,ambulance,ambulance emergency parked,0.923523015585357,17,2,200,197,1,1,200,200
ambulance_firetruck,n02701002_1056,0,ambulance,caption,w05,ambulance,ambulance helicopter blue,0.9738044177568089,22,53,484,250,1,1,500,375
ambulance_firetruck,n02701002_1063,0,ambulance,caption,w05,ambulance,ambulance helicopter on,0.9711546691774373,66,150,438,273,1,1,500,375
ambulance_firetruck,n02701002_10648,0,ambulance,caption,w05,ambulances,ambulances white lined,0.9277046658690822,128,46,250,233,4,2,250,333
ambulance_firetruck,n02701002_1070,0,ambulance,caption,w05,ambulance,ambulance johanniter white,0.9542889991270839,28,14,466,333,1,1,500,375
ambulance_firetruck,n02701002_1076,0,ambulance,caption,w05,ambulance,ambulance parked yellow,0.9680160692212608,58,58,419,308,1,1,500,375
ant_bee,n02206856_1036,0,bee,caption,w05,bee,bee flower pollen,0.964038236767407,194,29,403,250,3,1,500,333
ant_bee,n02206856_1038,0,bee,caption,w05,bee,bee fuzzy close-up,0.9678839222103874,22,0,485,297,1,1,500,302
ant_bee,n02206856_1042,0,bee,caption,w05,bee,bee pollinating flower,0.9732450571376746,245,74,392,220,3,1,500,332
ant_bee,n02206856_1049,0,bee,caption,w05,bee,bee fuzzy furry,0.9622630572140746,58,42,462,291,1,1,500,333
ant_bee,n02206856_1056,0,bee,caption,w05,honeybee,honeybee bee flower,0.9288950853956083,106,0,366,206,2,1,500,375
ant_bee,n02206856_1075,0,bee,caption,w05,bee,bee flower blossom,0.9760198191264191,148,91,366,280,3,1,500,400
ant_bee,n02206856_1081,0,bee,caption,w05,bee,bee flower yellow,0.8527131782945736,212,172,322,250,3,1,500,375
ant_bee,n02206856_1086,0,bee,caption,w05,bee,bee bumblebee buds,0.8991242296464482,36,164,191,362,3,1,378,500
ant_bee,n02206856_1092,0,bee,caption,w05,honeybee,honeybee bee honeycomb,0.8622754491017964,39,33,135,106,1,1,217,150
ant_bee,n02206856_1095,0,bee,caption,w05,bee,bee blooms flowers,0.8650207426894667,84,133,189,217,3,1,500,375
ant_bee,n02206856_1111,0,bee,caption,w05,honeybee,honeybee blurred close-up,0.9025069637883009,84,98,438,260,1,1,500,333
ant_bee,n02206856_1115,0,bee,caption,w05,flower,flower beetle insect,0.04595772727953623,58,118,335,359,3,1,480,360
ant_bee,n02206856_1136,0,bee,caption,w05,bumblebee,bumblebee flower thistle,0.903394821592129,117,24,377,388,3,1,472,500
ant_bee,n02206856_1139,0,bee,caption,w05,bee,bee flower hovers,0.9040383846461415,125,54,244,130,3,1,500,291
ant_bee,n02206856_1151,0,bee,caption,w05,bee,bee flower beetle,0.8358093126385809,18,14,377,332,3,1,500,347
ant_bee,n02206856_1152,0,bee,caption,w05,honeybee,honeybee bee flower,0.9475570794046598,0,0,288,384,2,1,333,500
ant_bee,n02206856_1154,0,bee,caption,w05,bee,bee flower furry,0.9831569986622887,22,27,654,464,3,1,800,549
ant_bee,n02206856_1175,0,bee,caption,w05,bee,bee flower petal,0.9288898196069046,58,41,208,250,3,1,250,295
ant_bee,n02206856_1177,0,bee,caption,w05,bee,bee coneflower pink,0.7987663839629915,254,145,384,263,3,1,500,421
ant_bee,n02206856_1216,0,bee,caption,w05,honeybee,honeybee bee flower,0.9244444444444444,0,100,499,308,2,1,500,333
ant_bee,n02206856_123,0,bee,caption,w05,honeybee,honeybee bee sunflower,0.8787602136303465,134,73,320,289,1,1,500,375
